Order Number,Actual Carrier Cost,Insurance Cost,Fulfillment Fee,Total Shipping Cost,Tracking Number,Carrier,Service,Ship Date,Data Source
"#PG5806","$67.28","$0.00","$0.00","$67.28","9234690382432300178189","USPS","USPS_GROUND_ADVANTAGE","2025-06-19T17:50:19.686+00:00","shipments_table"
"#PG5648","$47.03","$0.00","$0.00","$47.03","390175660503","fedex","fedex_2day","2025-06-19T07:00:00+00:00","shipments_table"
"#PG3704","$41.61","$0.00","$0.00","$41.61","289432993969","fedex","fedex_home_delivery","2025-06-04T00:00:00+00:00","shipments_table"
"#PG5677","$33.43","$0.00","$0.00","$33.43","390175703473","fedex","fedex_2day","2025-06-19T07:00:00+00:00","shipments_table"
"#PG5881","$32.32","$0.00","$0.00","$32.32","9234690382432300178530","USPS","USPS_GROUND_ADVANTAGE","2025-06-19T19:18:05.038+00:00","shipments_table"
"#PG5839","$30.45","$0.00","$0.00","$30.45","390176382860","fedex","fedex_2day","2025-06-19T07:00:00+00:00","shipments_table"
"#PG3372","$30.08","$0.00","$0.00","$30.08","289385986865","fedex","fedex_2day","2025-06-03T00:00:00+00:00","shipments_table"
"#PG5081","$29.51","$0.00","$0.00","$29.51","289495026961","fedex","fedex_home_delivery","2025-06-06T00:00:00+00:00","shipments_table"
"#PG3401","$26.87","$0.00","$0.00","$26.87","289386210880","fedex","fedex_2day","2025-06-03T00:00:00+00:00","shipments_table"
"#PG5765","$25.59","$0.00","$0.00","$25.59","390172819318","fedex","fedex_home_delivery","2025-06-19T07:00:00+00:00","shipments_table"
"#PG5702","$25.53","$0.00","$0.00","$25.53","390209172549","fedex","fedex_home_delivery","2025-06-20T07:00:00+00:00","shipments_table"
"#PG5637","$25.52","$0.00","$0.00","$25.52","390140319043","fedex","fedex_home_delivery","2025-06-18T07:00:00+00:00","shipments_table"
"#PG5102","$24.82","$0.00","$0.00","$24.82","289583187943","fedex","fedex_2day","2025-06-09T00:00:00+00:00","shipments_table"
"#PG4898","$24.51","$0.00","$0.00","$24.51","289473681165","fedex","fedex_2day","2025-06-05T00:00:00+00:00","shipments_table"
"#PG4517","$21.77","$0.00","$0.00","$21.77","289568231597","fedex","fedex_2day","2025-06-09T00:00:00+00:00","shipments_table"
"#PG5773","$21.71","$0.00","$0.00","$21.71","9234690382432300178684","USPS","USPS_GROUND_ADVANTAGE","2025-06-19T19:35:49.799+00:00","shipments_table"
"#PG5812","$21.71","$0.00","$0.00","$21.71","9234690382432300180960","USPS","USPS_GROUND_ADVANTAGE","2025-06-20T16:20:17.69+00:00","shipments_table"
"#PG5811","$21.62","$0.00","$0.00","$21.62","390175619333","fedex","fedex_2day","2025-06-19T07:00:00+00:00","shipments_table"
"#PG5862","$21.46","$0.00","$0.00","$21.46","390211464387","fedex","fedex_home_delivery","2025-06-20T07:00:00+00:00","shipments_table"
"#PG4534","$20.93","$0.00","$0.00","$20.93","9434650105501001237947","stamps_com","usps_ground_advantage","2025-06-09T00:00:00+00:00","shipments_table"
