Order Number,Shipping Cost,Tracking Number,Carrier
"#PG5492","$116.83","No tracking","FedEx 2Day - Includes Rush Processing"
"#PG2977","$113.95","No tracking","Ground Advantage"
"#PG2996","$79.27","No tracking","Ground Advantage"
"#PG4302","$74.34","No tracking","FedEx 2Day®"
"#PG3323","$67.96","No tracking","FedEx 2Day®"
"#PG5637","$59.12","No tracking","FedEx Home Delivery"
"#PG5648","$56.67","No tracking","FedEx 2Day - Includes Rush Processing"
"#PG3278","$53.51","No tracking","FedEx 2Day®"
"#PG5528","$50.94","No tracking","FedEx 2Day - Includes Rush Processing"
"#PG3414","$49.76","No tracking","FedEx 2Day®"
"#PG3414","$49.76","No tracking","FedEx 2Day®"
"#PG5873","$44.94","No tracking","FedEx 2Day - Includes Rush Processing"
"#PG5410","$44.19","No tracking","FedEx 2Day®"
"#PG4303","$44.16","No tracking","FedEx 2Day®"
"#PG5677","$43.58","No tracking","FedEx 2Day - Includes Rush Processing"
"#PG5839","$43.26","No tracking","FedEx 2Day - Includes Rush Processing"
"#PG4706","$41.07","No tracking","FedEx 2Day®"
"#PG3372","$40.61","No tracking","FedEx 2Day®"
"#PG5406","$40.46","No tracking","FedEx 2Day®"
"#PG5710","$37.50","No tracking","FedEx 2Day - Includes Rush Processing"
"#PG3087","$37.46","No tracking","FedEx 2Day®"
"#PG5549","$37.14","No tracking","FedEx 2Day - Includes Rush Processing  (2)"
"#PG3401","$36.27","No tracking","FedEx 2Day®"
"#PG5586","$36.17","No tracking","FedEx 2Day - Includes Rush Processing  (2)"
"#PG5910","$34.53","No tracking","FedEx 2Day - Includes Rush Processing"
"#PG5486","$33.77","No tracking","FedEx 2Day - Includes Rush Processing"
"#PG3088","$33.09","No tracking","FedEx 2Day®"
"#PG5658","$32.66","No tracking","FedEx 2Day - Includes Rush Processing"
"#PG5055","$31.91","No tracking","FedEx 2Day®"
"#PG5362","$31.73","No tracking","FedEx 2Day®"
"#PG5480","$30.79","No tracking","FedEx 2Day - Includes Rush Processing"
"#PG5323","$30.60","No tracking","FedEx 2Day®"
"#PG5811","$30.18","No tracking","FedEx 2Day - Includes Rush Processing"
"#PG5834","$30.02","No tracking","FedEx 2Day - Includes Rush Processing"
"#PG5408","$29.46","No tracking","FedEx 2Day®"
"#PG5462","$28.55","No tracking","FedEx Home Delivery"
"#PG3256","$28.12","No tracking","FedEx 2Day®"
"#PG3272","$28.12","No tracking","FedEx 2Day®"
"#PG4205","$28.12","No tracking","FedEx 2Day®"
"#PG4552","$28.11","No tracking","FedEx Home Delivery®"
"#PG5791","$27.56","No tracking","FedEx 2Day - Includes Rush Processing"
"#PG5355","$27.42","No tracking","FedEx 2Day®"
"#PG5538","$27.17","No tracking","FedEx 2Day - Includes Rush Processing  (2)"
"#PG5582","$27.17","No tracking","FedEx 2Day - Includes Rush Processing  (2)"
"#PG5412","$27.04","No tracking","FedEx 2Day®"
"#PG5231","$26.73","No tracking","FedEx Home Delivery®"
"#PG2991","$26.43","No tracking","FedEx Home Delivery®"
"#PG5862","$25.81","No tracking","FedEx Home Delivery"
"#PG5476","$25.78","No tracking","FedEx Home Delivery"
"#PG2966","$24.15","No tracking","FedEx 2Day®"
"#PG4977","$23.64","No tracking","FedEx Home Delivery®"
"#PG5364","$23.54","No tracking","FedEx 2Day®"
"#PG5365","$23.54","No tracking","FedEx 2Day®"
"#PG5401","$23.54","No tracking","FedEx 2Day®"
"#PG5407","$23.54","No tracking","FedEx 2Day®"
"#PG5896","$23.47","No tracking","FedEx Home Delivery"
"#PG5650","$23.09","No tracking","FedEx Home Delivery"
"#PG4898","$22.72","No tracking","FedEx 2Day®"
"#PG5102","$22.72","No tracking","FedEx 2Day®"
"#PG5018","$22.56","No tracking","FedEx 2Day®"
"#PG5479","$21.12","No tracking","FedEx Home Delivery"
"#PG4845","$20.85","No tracking","FedEx Home Delivery®"
"#PG5281","$20.85","No tracking","FedEx Home Delivery®"
"#PG5585","$20.75","No tracking","FedEx Home Delivery"
"#PG5666","$20.57","No tracking","FedEx Home Delivery"
"#PG4107","$19.95","No tracking","FedEx Home Delivery®"
"#PG4969","$19.85","No tracking","FedEx 2Day®"
"#PG4229","$19.56","No tracking","FedEx Home Delivery®"
"#PG5511","$19.56","No tracking","FedEx Home Delivery"
"#PG5483","$19.53","No tracking","FedEx Home Delivery"
"#PG5544","$19.53","No tracking","FedEx Home Delivery"
"#PG2960","$19.39","No tracking","FedEx Home Delivery®"
"#PG3110","$19.29","No tracking","FedEx Home Delivery®"
"#PG4438","$19.29","No tracking","FedEx Home Delivery®"
"#PG5451","$19.11","No tracking","FedEx Home Delivery"
"#PG5503","$19.08","No tracking","FedEx Home Delivery"
"#PG5611","$18.82","No tracking","FedEx Home Delivery"
"#PG5651","$18.82","No tracking","FedEx Home Delivery"
"#PG5610","$18.82","No tracking","FedEx Home Delivery"
"#PG5531","$18.82","No tracking","FedEx Home Delivery"
"#PG5759","$18.82","No tracking","FedEx Home Delivery"
"#PG5302","$18.81","No tracking","FedEx Home Delivery®"
"#PG5350","$18.81","No tracking","FedEx Home Delivery®"
"#PG4747","$18.58","No tracking","FedEx Home Delivery®"
"#PG5048","$18.45","No tracking","FedEx Home Delivery®"
"#PG5081","$18.45","No tracking","FedEx Home Delivery®"
"#PG5148","$18.45","No tracking","FedEx Home Delivery®"
"#PG5731","$18.33","No tracking","FedEx Home Delivery"
"#PG3211","$18.28","No tracking","FedEx Home Delivery®"
"#PG3212","$18.01","No tracking","FedEx Home Delivery®"
"#PG5445","$17.00","No tracking","FedEx Home Delivery"
"#PG5507","$16.96","No tracking","FedEx Home Delivery"
"#PG5570","$16.83","No tracking","FedEx Home Delivery"
"#PG2902","$16.66","No tracking","FedEx Home Delivery®"
"#PG5246","$16.61","No tracking","FedEx Home Delivery®"
"#PG5333","$16.61","No tracking","FedEx Home Delivery®"
"#PG5198","$16.51","No tracking","FedEx Home Delivery®"
"#PG5657","$16.51","No tracking","FedEx Home Delivery"
"#PG5736","$16.51","No tracking","FedEx Home Delivery"
"#PG5155","$16.43","No tracking","FedEx Home Delivery®"
"#PG5186","$16.43","No tracking","FedEx Home Delivery®"
"#PG4901","$16.43","No tracking","FedEx Home Delivery®"
"#PG4914","$16.43","No tracking","FedEx Home Delivery®"
"#PG5136","$16.43","No tracking","FedEx Home Delivery®"
"#PG5024","$16.43","No tracking","FedEx Home Delivery®"
"#PG5495","$16.35","No tracking","FedEx Home Delivery"
"#PG3795","$16.00","No tracking","FedEx Home Delivery®"
"#PG3975","$16.00","No tracking","FedEx Home Delivery®"
"#PG4222","$16.00","No tracking","FedEx Home Delivery®"
"#PG5807","$15.86","No tracking","FedEx Home Delivery"
"#PG5504","$15.86","No tracking","FedEx Home Delivery"
"#PG5631","$15.84","No tracking","FedEx Home Delivery"
"#PG5494","$15.68","No tracking","FedEx Home Delivery"
"#PG5510","$15.68","No tracking","FedEx Home Delivery"
"#PG5467","$15.68","No tracking","FedEx Home Delivery"
"#PG5376","$15.60","No tracking","FedEx Home Delivery®"
"#PG5601","$15.60","No tracking","FedEx Home Delivery"
"#PG5609","$15.60","No tracking","FedEx Home Delivery"
"#PG5430","$15.60","No tracking","FedEx Home Delivery"
"#PG5454","$15.60","No tracking","FedEx Home Delivery"
"#PG5893","$15.60","No tracking","FedEx Home Delivery"
"#PG5514","$15.60","No tracking","FedEx Home Delivery"
"#PG5500","$15.60","No tracking","FedEx Home Delivery"
"#PG5775","$15.60","No tracking","FedEx Home Delivery"
"#PG5640","$15.60","No tracking","FedEx Home Delivery"
"#PG5638","$15.60","No tracking","FedEx Home Delivery"
"#PG5496","$15.60","No tracking","FedEx Home Delivery"
"#PG5584","$15.60","No tracking","FedEx Home Delivery"
"#PG5188","$15.42","No tracking","Ground Advantage"
"#PG5309","$15.41","No tracking","FedEx Home Delivery®"
"#PG5255","$15.41","No tracking","FedEx Home Delivery®"
"#PG5290","$15.41","No tracking","FedEx Home Delivery®"
"#PG5250","$15.41","No tracking","FedEx Home Delivery®"
"#PG5268","$15.41","No tracking","FedEx Home Delivery®"
